id,answer,context
Q1,"'il tuo segnale Wow ̬ :Attenzione agli incantesimi del crepuscolo'","GiorniMagici.java"
Q2,"'0.313'","CalcolatoreStatisticheBaseball.java"
Q3,"'6.43'","CalcolatoreStatisticheBaseball.java"
Q4,"true","GestionePassword.java"
Q5,"'EdCba'","AnalizzatoreTesto.java"
Q6,"6.21371","ConvertitoreUnita.java"
Q7,"22.86","CalcolatoreBMI.java"
Q8,"'Momentum fortemente a favore della squadra di casa!'","BasketballStats.java"
Q9,"KHOOR","StrumentiCrittografia.java"
Q10,"~30.4","SimulatoreMeteo.java"
Q11,"true (6*5=30)","GiorniMagici.java"
Q12,"605.98","GestioneFinanzePersonali.java"
Q13,"'Riposa e rigenera il tuo potere magico.'","DateUtilCustom.java"
Q14,"524.47","AnalizzatoreInvestimenti.java"
Q15,"6","AnalizzatoreCodice.java"
Q16,"[nuova_preda, nuovo_predatore]","SimulatoreEcologico.java"
Q17,"Stringa casuale con maiuscole, numeri e simboli","GestionePassword.java"
Q18,"0xB3B3B3","StrumentiGrafica.java"
Q19,"3.0","CalcolatriceScientifica.java"
Q20,"'Sovrappeso'","CalcolatoreBMI.java"
Q21,"true","DateUtilCustom.java"
Q22,"16/01/2024","DateUtilCustom.java"
Q23,"50%","AnalizzatoreInvestimenti.java"
Q24,"31","BasketballStats.java"
Q25,"1104","SimulatoreEcologico.java"
Q26,"Report con 85 punti e ratio 0.43","BasketballStats.java"
Q27,"HELLO","StrumentiCrittografia.java"
Q28,"16","GestoreProgetti.java"
Q29,"Messaggio personalizzato con giorni rimanenti","DateUtilCustom.java"
Q30,"5.0","CalcolatriceScientifica.java"